ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_640	0	0.04409441	 Actinobacteria	 Actinobacteria	 Nakamurella	0.036262929
OTU_905	0	0.04409441	Others	Others	 Unassigned	0.036262929
OTU_1963	0.04409441	0	 Firmicutes	Others	Unassigned	0.036262929
OTU_2521	0.04409441	0	 Bacteroidetes	Others	 Alloprevotella	0.036262929
OTU_3053	0.04409441	0	 Firmicutes	Others	 Ruminococcus_1	0.036262929
OTU_957	0	0.04409441	 Proteobacteria	Others	Unassigned	0.036262929
OTU_1672	0	0.04409441	 Bacteroidetes	Others	 Prevotella_9	0.036262929
OTU_1780	0	0.04409441	 Firmicutes	 Bacilli	 Geobacillus	0.036262929
OTU_1268	0	0.04409441	 Proteobacteria	 Betaproteobacteria	 Chitinivorax	0.036262929
OTU_1262	0.04409441	0	 Firmicutes	Others	 Peptoclostridium	0.036262929
OTU_1735	0	0.04409441	Others	Others	 Unassigned	0.036262929
OTU_580	0	0.04409441	Others	Others	 Unassigned	0.036262929
OTU_143	0	0.04409441	 Proteobacteria	 Gammaproteobacteria	 Aeromonas	0.036262929
OTU_2565	0.04409441	0	 Firmicutes	Others	 Blautia	0.036262929
OTU_2948	0.04409441	0	 Bacteroidetes	Others	 Parabacteroides	0.036262929
OTU_1541	0.04409441	0	 Firmicutes	 Bacilli	 Lactobacillus	0.036262929
OTU_1083	0.04409441	0	Others	Others	Unassigned	0.036262929
OTU_841	0.04409441	0	Others	Others	Unassigned	0.036262929
OTU_2073	0.04409441	0	Others	Others	Unassigned	0.036262929
OTU_3173	0	0.04409441	 Planctomycetes	Others	 SM1A02	0.036262929
OTU_1059	0	0.04409441	 Proteobacteria	Others	 Unassigned	0.036262929
OTU_496	0.04409441	0	 Actinobacteria	 Actinobacteria	 Corynebacterium_1	0.036262929
OTU_1266	0.04409441	0	 Actinobacteria	 Actinobacteria	 Unassigned	0.036262929
OTU_3750	0.04409441	0	 Actinobacteria	 Actinobacteria	 Bifidobacterium	0.036262929
OTU_750	0	0.04409441	 Proteobacteria	Others	 OM27_clade	0.036262929
OTU_3366	0.04409441	0	Others	Others	Unassigned	0.036262929
OTU_3594	0.04409441	0	 Firmicutes	Others	Unassigned	0.036262929
OTU_1960	0.04409441	0	 Bacteroidetes	Others	 Bacteroides	0.036262929
OTU_2133	0.04409441	0	 Actinobacteria	Others	 Solirubrobacter	0.036262929
OTU_2081	0.04409441	0	 Firmicutes	Others	 Lachnospiraceae_NK4A136_group	0.036262929
OTU_1952	0.04409441	0	 Firmicutes	Others	 Ruminiclostridium_9	0.036262929
OTU_3601	0.04409441	0	 Proteobacteria	 Gammaproteobacteria	 Unassigned	0.036262929
OTU_2252	0.04409441	0	 Firmicutes	Others	 Oscillospira	0.036262929
OTU_3605	0.04409441	0	Others	Others	 Unassigned	0.036262929
OTU_1583	0.04409441	0	Others	Others	 Unassigned	0.036262929
OTU_2567	0.04409441	0	 Actinobacteria	 Actinobacteria	 Bifidobacterium	0.036262929
OTU_661	0	0.04409441	 Proteobacteria	 Betaproteobacteria	 Limnobacter	0.036262929
OTU_1712	0	0.04409441	 Proteobacteria	 Betaproteobacteria	 Vogesella	0.036262929
OTU_845	0	0.04409441	Others	Others	 Unassigned	0.036262929
OTU_1199	0	0.04409441	 Proteobacteria	 Alphaproteobacteria	 Unassigned	0.036262929
OTU_1181	0	0.04409441	 Proteobacteria	 Gammaproteobacteria	 Shewanella	0.036262929
OTU_1847	0	0.04409441	 Planctomycetes	Others	 Gemmata	0.036262929
OTU_962	0	0.04409441	 Planctomycetes	Others	 Unassigned	0.036262929
OTU_3983	0	0.04409441	Others	Others	 Unassigned	0.036262929
OTU_1124	0	0.04409441	 Actinobacteria	Others	 Unassigned	0.036262929
OTU_3821	0	0.04409441	 Bacteroidetes	Others	 Flavobacterium	0.036262929
OTU_2086	0	0.04409441	 Planctomycetes	Others	 Unassigned	0.036262929
OTU_1032	0	0.04409441	 Proteobacteria	Others	 Unassigned	0.036262929
OTU_1603	0	0.04409441	Others	Others	 Unassigned	0.036262929
OTU_2160	0	0.04409441	 Proteobacteria	 Alphaproteobacteria	 uncultured	0.036262929
OTU_3824	0	0.04409441	Others	Others	Unassigned	0.036262929
OTU_1340	0	0.04409441	 Bacteroidetes	Others	Unassigned	0.036262929
OTU_3822	0	0.04409441	 Firmicutes	Others	 Fastidiosipila	0.036262929
