ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All	Asia	North_America	South_America
ASV_236	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Schumannella	Unassigned	0.057947	0.11210959	0.04153970	0.05915908
ASV_204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.064944	0.06575409	0.08010659	0.04905706
ASV_357	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	Unassigned	0.06114	0.06345339	0.06932236	0.05202128
ASV_210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.058909	0.06034478	0.06865701	0.04843041
ASV_213	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.063445	0.08439840	0.05297904	0.06816460
ASV_219	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.062717	0.08025336	0.05015061	0.07059684
ASV_347	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	0.039779	0.01448332	0.03914845	0.04777482
ASV_421	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_megaterium	0.045157	0.04437559	0.03681704	0.05399276
ASV_284	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Schumannella	Unassigned	0.041243	0.08551661	0.02822565	0.04182611
ASV_234	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Unassigned	0.04817	0.04726745	0.04289445	0.05387884
ASV_422	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.069418	0.03970350	0.05145002	0.09659297
ASV_400	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.065999	0.03681163	0.05528645	0.08552998
ASV_686	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned	0.030773	0.03619967	0.02908817	0.03093713
ASV_506	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.044017	0.06331989	0.03987288	0.04269035
ASV_820	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.031864	0.04501570	0.03326728	0.02659739
ASV_542	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	Unassigned	0.027668	0.009113938	0.023359489	0.037502806
ASV_306	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.034503	0.03232647	0.03871731	0.03078368
ASV_311	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.03596	0.04563441	0.02817035	0.04119193
ASV_371	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.030243	0.01951277	0.03313796	0.03036907
ASV_739	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_cereus	0.021265	0.02007638	0.01472717	0.02835849
ASV_450	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.024505	0.02144937	0.02582269	0.02403249
ASV_30	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_putida	0.72712	0.009817976	1.333378333	0.309553738
